Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
"04.03.02 Governance, Strukturen und Prozesse","Nennen Sie 5 Aspekte, die in einem Projektsteckbrief stehen sollen.","Kurzbeschreibung, Auftraggeber, PM, Projektziele, Kosten, Risiken, Dauer",
"04.03.02 Governance, Strukturen und Prozesse",Nennen Sie mindestens vier (4) Merkmale eines Projekts.," Neuartig/einmalig 
• Komplex
• Zeitlich befristet
• Begrenzte Ressourcen
• Eindeutige & abgegrenzte Ziele
1. einmalig, 2. Begrenzungen, zeitlicher, finanzieller oder anderer Art, 3. zielorientiert, 4. es sind Ressourcen erforderlich, 5. komplex, 6. innovativ

E – Einmaligkeit → Jedes Projekt hat ein einmaliges Ziel
S – Start & Ende (zeitlich begrenzt) → Projekte haben einen klaren Zeitraum
E – Eingeschränkte Ressourcen → Budget, Personal, Material sind begrenzt
L – Linienabgrenzung / Eigenständigkeit → Projekte unterscheiden sich von Routineaufgaben",
"04.03.02 Governance, Strukturen und Prozesse","Sie sind Teilprojektleiter (TPL) in einem Forschungs und Entwicklungsprojekt (F&E) ihres Unternehmens. Welche Informationen wird die Controllingabteilung von ihnen haben wollen? 
a) technische Daten  
b) Aufwand (Plan/ Ist) für das aktuelle Arbeitspaket
c) verwendete Software
d) Ausstattung des F&E Labors",b) Aufwand (Plan/ Ist) für das aktuelle Arbeitspaket,
"04.03.02 Governance, Strukturen und Prozesse",Warum sollte ein Projektsteckbrief nur eine Seite beinhalten?,"Weil er für das Top Management gedacht ist und schnell zu erfassen sein soll. (Der Projektsteckbrief beschreibt die wesentlichen Inhalte eines Projektes, auf das sich Auftraggeber und Projektleitung verständigt haben. )
Klassischerweise wird der Steckbrief als Onepager geführt.",
"04.03.02 Governance, Strukturen und Prozesse",Was ist ein Projektportfolio?,Alle Projekte und Programme innerhalb eines Unternehmensbereiches oder des Gesamtunternehmens werden in einem Projektportfolio organisiert.,
"04.03.02 Governance, Strukturen und Prozesse","Was ist keine Projektart? 
a) F&E Projekt 
b) Verkaufsprojekt. 
c) Investitionsprojekt 
d) Organisationsprojekt ",b)Verkaufsprojekt,
"04.03.02 Governance, Strukturen und Prozesse","Was wird unter einem Projektportfolio verstanden?
a) Ein Projektportfolio beinhaltet alle gleichartigen Projekte eines Unternehmens oder einer Organisationseinheit.
b) Ein Projektportfolio besteht erst ab 15 Projekten.
c) Ein Projektportfolio verwaltet die Ressourcen eines Projektes.
d) In einem Projektportfolio werden die Unterlagen eines Projektes gesammelt.",a) Ein Projektportfolio beinhaltet alle gleichartigen Projekte eines Unternehmens oder einer Organisationseinheit.,
"04.03.02 Governance, Strukturen und Prozesse",Welche 3 Projektarten werden üblicherweise unterschieden?,"Investitionsprojekte, Organisationsprojekte, Forschungs&Entwicklungs Projekte
",
"04.03.02 Governance, Strukturen und Prozesse","Welche der folgenden Aussagen in Bezug auf Projektorganisationen ist richtig?
a) Die Stammorganisation übernimmt keine Aufgabe in der Lenkung von Projekten 
b) In einer Einflussorganisation ist der Projektleiter für das gesamte Projektergebnis verantwortlich  
c) Bei einem autonomen Projekt ist die ein- und Ausgliederung von Projektmitgliedern ein Problem 
d)  In einer Matrixorganisation untersteht die Verwaltung und Kontrolle der Projektmitglieder dem Projektleiter",c) Bei einem autonomen Projekt ist die ein- und Ausgliederung von Projektmitgliedern ein Problem ,
"04.03.02 Governance, Strukturen und Prozesse","Welche der folgenden Begriffe ist keine Projektart?
a) Innovationsprojekt,
b) Entwicklungsprojekt, 
c) Investitionsprojekt, 
d) Forschungsprojekt",a) Innovationsprojekt,
"04.03.02 Governance, Strukturen und Prozesse",Welche drei (3) Projektarten werden üblicherweise unterschieden?,"Investitionsprojekte, Organisationsprojekte, Forschungs&Entwicklungs Projekte",
"04.03.02 Governance, Strukturen und Prozesse","Welcher Begriff für ""Lenkungsausschuss"" wird oft in Unternehmen verwendet?
A) Leitung, Geschäftsführung
B) Steering Committee, PM Board
C) Projektrat, Betriebsrat
D) Auftraggeber, Kunde","B) Steering Committee, PM Board
",
"04.03.02 Governance, Strukturen und Prozesse","Wie ist ein Projektportfolio definiert?
A) alle Projekte für externe Kunden
B) alle Projekte und Programme im Unternehmen
C) alle Investitionsprojekte im Unternehmen
D) gibt es nur in bestimmten Unternehmensbereichen","
B) alle Projekte und Programme im Unternehmen
",
"04.03.02 Governance, Strukturen und Prozesse",Wozu dient das Projekthandbuch?,"Roadmap für die Einhaltung des Projektfahrplans
/
Dient als zentrale Arbeits- und Orientierungsgrundlage für alle Beteiligten unseres aktuellen Projekts; 
/
Das Projekthandbuch dient als Navigationsplan für ein spezifisches Projekt und beinhaltet alle Pläne und Regelungen.

Eine Abgrenzung des Projektmanagement-Handbuchs gegenüber dem Projekthandbuch ist, dass sich das Projekthandbuch lediglich auf ein spezifisches Projekt bezieht. 
Das Projektmanagement-Handbuch hingegen gilt als Regelwerk für alle Projekte im Unternehmen. Insofern basiert das Projekthandbuch jedoch auf dem Projektmanagement-Handbuch /Standardisierung, Dokumentation von Prozessen und Abläufen
/
Buch 187: srand 2026 3 Auflage S.187: Für die Planung und Durchführung sowie die Überwachung/Steuerung eines bestimmten Projekts",
"04.03.02 Governance, Strukturen und Prozesse",Erklären Sie die Merkmale eines agilen Portfolios ,"Ein agiles Portfolio bündelt alle Initiativen nach strategischen Wertströmen und priorisiert kontinuierlich nach Kundennutzen und Geschäftswert. Es wird iterativ geplant, visualisiert (z.B. Kanban) und regelmäßig umpriorisiert, um schnell auf Veränderungen reagieren zu können.","Ein agiles Portfolio zeichnet sich durch kontinuierliche Flexibilität, rollierende Planung, nutzenorientierte Priorisierung, hohe Transparenz, begrenzte gleichzeitige Projekte und schnelle Feedback-Schleifen aus – alles mit dem Ziel, schneller auf Marktveränderungen zu reagieren und höheren Kundennutzen zu erzielen"
"04.03.02 Governance, Strukturen und Prozesse","An welchen Stellen können i.d.R. Unterstützungsleistungen für ihr Projekt gefunden werden?
A) bei allen MA im Unternehmen
B) bei Project Management Office (PMO), Project Office (PO)
C) beim Kunden
D) beim Auftraggeber","B) bei Project Management Office (PMO), Project Office (PO)","An welchen Stellen können i.d.R. Unterstützungsleistungen für ihr Projekt gefunden werden?
A) bei allen MA im Unternehmen
B) bei Project Management Office (PMO), Project Office (PO)
C) beim Kunden
D) beim Auftraggeber"
"04.03.02 Governance, Strukturen und Prozesse",Bei Projekten werden Anforderungen und Handlungs- / Lösungsansätze betrachtet. Wann sind Projekte komplex?,"Ein Projekt ist komplex, wenn: Unsicherheiten sowohl hinsichtlich der Umsetzung als auch bei (der Erfassung und Formulierung) der Anforderungen bestehen.
Einstufung nach Stacey Matrix → agile Umsetzung empfohlen
Wann ist ein Projekt komplex? Es geht um die Zielsetzungseinigkeit. Bei einem komplexten Projekt besteht große Unsicherheit bezüglich der Anforderungen. Der Innovationsgrad des Ergebnisses ist hoch, deswegen kann für die Lösung nicht auf bestehende Erfahrungen zurückgegriffen werden.",Bei Projekten werden Anforderungen und Handlungs- / Lösungsansätze betrachtet. Wann sind Projekte komplex?
"04.03.02 Governance, Strukturen und Prozesse",Erklären Sie die Merkmale eines agilen Portfolios ,"Ein agiles Portfolio bündelt alle Initiativen nach strategischen Wertströmen und priorisiert kontinuierlich nach Kundennutzen und Geschäftswert. Es wird iterativ geplant, visualisiert (z.B. Kanban) und regelmäßig umpriorisiert, um schnell auf Veränderungen reagieren zu können.
Ein agiles Portfolio zeichnet sich durch kontinuierliche Flexibilität, rollierende Planung, nutzenorientierte Priorisierung, hohe Transparenz, begrenzte gleichzeitige Projekte und schnelle Feedback-Schleifen aus – alles mit dem Ziel, schneller auf Marktveränderungen zu reagieren und höheren Kundennutzen zu erzielen",Erklären Sie die Merkmale eines agilen Portfolios 
"04.03.02 Governance, Strukturen und Prozesse",In ihrem Unternehmen sollen neue Bereiche gegründet werden. Welcher Projektart ist ein solches Projekt zuzuordnen?,"Organisationsprojekt, da sich die Firma neu strukturiert, die Bereiche müssen gegenüber den bestehenden abgegrenzt, Aufgaben und Kompetenzen neu geregelt und zugeteilt werden. (Möglich ist auch ein (F)orschunges und  Entwicklungsprojekt). Entscheidend für die Projektart ist die Frage, auf welchem Aspekt der Fokus liegt.",In ihrem Unternehmen sollen neue Bereiche gegründet werden. Welcher Projektart ist ein solches Projekt zuzuordnen?
"04.03.02 Governance, Strukturen und Prozesse","Nach welchen Kriterien können Projekte klassifiziert werden? Wählen Sie die richtige Antwort aus.
A) Materialaufwand
B) Zustimmung der Stakeholder
C) mögliche Spendeneinnahmen
D) Priorität, Komplexität, Aufwand, strategische Bedeutung
","D) Priorität, Komplexität, Aufwand, strategische Bedeutung","Nach welchen Kriterien können Projekte klassifiziert werden? Wählen Sie die richtige Antwort aus.
A) Materialaufwand
B) Zustimmung der Stakeholder
C) mögliche Spendeneinnahmen
D) Priorität, Komplexität, Aufwand, strategische Bedeutung
"
"04.03.02 Governance, Strukturen und Prozesse",Nach welchen Kriterien werden Projekte nach Klassen eingeteilt? ,"Klassifizierung zum Beispiel nach Projektgröße, Priorität, Kunden (extern) oder internes Projekt",Nach welchen Kriterien werden Projekte nach Klassen eingeteilt? 
"04.03.02 Governance, Strukturen und Prozesse",Nenne 2 mögliche Kapitel eines Projektmanagement-Handbuchs!,"Zum Beispiel: Definitionen, Projektorganisation (Rollen, Verantwortlichkeiten)
 Projektplanung Vorlagen, Checklisten, Definition von Qualitätskriterien, Projektplanung und -steuerung (Abläufe, Methoden, Meilensteine), Projektkommunikation und -dokumentation, Projektcontrolling, Projektabschluss",Nenne 2 mögliche Kapitel eines Projektmanagement-Handbuchs!
"04.03.02 Governance, Strukturen und Prozesse","Nennen Sie 5 Aspekte, die in einem Projektsteckbrief stehen sollen.","Kurzbeschreibung, Auftraggeber, PM, Projektziele, Kosten, Risiken, Dauer","Nennen Sie 5 Aspekte, die in einem Projektsteckbrief stehen sollen."
"04.03.02 Governance, Strukturen und Prozesse",Nennen Sie mindestens vier (4) Merkmale eines Projekts.," Neuartig/einmalig 
• Komplex
• Zeitlich befristet
• Begrenzte Ressourcen
• Eindeutige & abgegrenzte Ziele
1. einmalig, 2. Begrenzungen, zeitlicher, finanzieller oder anderer Art, 3. zielorientiert, 4. es sind Ressourcen erforderlich, 5. komplex, 6. innovativ

E – Einmaligkeit → Jedes Projekt hat ein einmaliges Ziel
S – Start & Ende (zeitlich begrenzt) → Projekte haben einen klaren Zeitraum
E – Eingeschränkte Ressourcen → Budget, Personal, Material sind begrenzt
L – Linienabgrenzung / Eigenständigkeit → Projekte unterscheiden sich von Routineaufgaben",Nennen Sie mindestens vier (4) Merkmale eines Projekts.
"04.03.02 Governance, Strukturen und Prozesse","Sie sind Teilprojektleiter (TPL) in einem Forschungs und Entwicklungsprojekt (F&E) ihres Unternehmens. Welche Informationen wird die Controllingabteilung von ihnen haben wollen? 
a) technische Daten  
b) Aufwand (Plan/ Ist) für das aktuelle Arbeitspaket
c) verwendete Software
d) Ausstattung des F&E Labors",b) Aufwand (Plan/ Ist) für das aktuelle Arbeitspaket,"Sie sind Teilprojektleiter (TPL) in einem Forschungs und Entwicklungsprojekt (F&E) ihres Unternehmens. Welche Informationen wird die Controllingabteilung von ihnen haben wollen? 
a) technische Daten  
b) Aufwand (Plan/ Ist) für das aktuelle Arbeitspaket
c) verwendete Software
d) Ausstattung des F&E Labors"
"04.03.02 Governance, Strukturen und Prozesse",Warum sollte ein Projektsteckbrief nur eine Seite beinhalten?,"Weil er für das Top Management gedacht ist und schnell zu erfassen sein soll. (Der Projektsteckbrief beschreibt die wesentlichen Inhalte eines Projektes, auf das sich Auftraggeber und Projektleitung verständigt haben. )
Klassischerweise wird der Steckbrief als Onepager geführt.",Warum sollte ein Projektsteckbrief nur eine Seite beinhalten?
"04.03.02 Governance, Strukturen und Prozesse",Was ist ein Projektportfolio?,Alle Projekte und Programme innerhalb eines Unternehmensbereiches oder des Gesamtunternehmens werden in einem Projektportfolio organisiert.,Was ist ein Projektportfolio?
"04.03.02 Governance, Strukturen und Prozesse","Was ist keine Projektart? 
a) F&E Projekt 
b) Verkaufsprojekt. 
c) Investitionsprojekt 
d) Organisationsprojekt ",b)Verkaufsprojekt,"Was ist keine Projektart? 
a) F&E Projekt 
b) Verkaufsprojekt. 
c) Investitionsprojekt 
d) Organisationsprojekt "
"04.03.02 Governance, Strukturen und Prozesse","Was wird unter einem Projektportfolio verstanden?
a) Ein Projektportfolio beinhaltet alle gleichartigen Projekte eines Unternehmens oder einer Organisationseinheit.
b) Ein Projektportfolio besteht erst ab 15 Projekten.
c) Ein Projektportfolio verwaltet die Ressourcen eines Projektes.
d) In einem Projektportfolio werden die Unterlagen eines Projektes gesammelt.",a) Ein Projektportfolio beinhaltet alle gleichartigen Projekte eines Unternehmens oder einer Organisationseinheit.,"Was wird unter einem Projektportfolio verstanden?
a) Ein Projektportfolio beinhaltet alle gleichartigen Projekte eines Unternehmens oder einer Organisationseinheit.
b) Ein Projektportfolio besteht erst ab 15 Projekten.
c) Ein Projektportfolio verwaltet die Ressourcen eines Projektes.
d) In einem Projektportfolio werden die Unterlagen eines Projektes gesammelt."
"04.03.02 Governance, Strukturen und Prozesse",Welche 3 Projektarten werden üblicherweise unterschieden?,"Investitionsprojekte, Organisationsprojekte, Forschungs&Entwicklungs Projekte
",Welche 3 Projektarten werden üblicherweise unterschieden?
"04.03.02 Governance, Strukturen und Prozesse","Welche der folgenden Aussagen in Bezug auf Projektorganisationen ist richtig?
a) Die Stammorganisation übernimmt keine Aufgabe in der Lenkung von Projekten 
b) In einer Einflussorganisation ist der Projektleiter für das gesamte Projektergebnis verantwortlich  
c) Bei einem autonomen Projekt ist die ein- und Ausgliederung von Projektmitgliedern ein Problem 
d)  In einer Matrixorganisation untersteht die Verwaltung und Kontrolle der Projektmitglieder dem Projektleiter",c) Bei einem autonomen Projekt ist die ein- und Ausgliederung von Projektmitgliedern ein Problem ,"Welche der folgenden Aussagen in Bezug auf Projektorganisationen ist richtig?
a) Die Stammorganisation übernimmt keine Aufgabe in der Lenkung von Projekten 
b) In einer Einflussorganisation ist der Projektleiter für das gesamte Projektergebnis verantwortlich  
c) Bei einem autonomen Projekt ist die ein- und Ausgliederung von Projektmitgliedern ein Problem 
d)  In einer Matrixorganisation untersteht die Verwaltung und Kontrolle der Projektmitglieder dem Projektleiter"
"04.03.02 Governance, Strukturen und Prozesse","Welche der folgenden Begriffe ist keine Projektart?
a) Innovationsprojekt,
b) Entwicklungsprojekt, 
c) Investitionsprojekt, 
d) Forschungsprojekt",a) Innovationsprojekt,"Welche der folgenden Begriffe ist keine Projektart?
a) Innovationsprojekt,
b) Entwicklungsprojekt, 
c) Investitionsprojekt, 
d) Forschungsprojekt"
"04.03.02 Governance, Strukturen und Prozesse",Welche drei (3) Projektarten werden üblicherweise unterschieden?,"Investitionsprojekte, Organisationsprojekte, Forschungs&Entwicklungs Projekte",Welche drei (3) Projektarten werden üblicherweise unterschieden?
"04.03.02 Governance, Strukturen und Prozesse","Welcher Begriff für ""Lenkungsausschuss"" wird oft in Unternehmen verwendet?
A) Leitung, Geschäftsführung
B) Steering Committee, PM Board
C) Projektrat, Betriebsrat
D) Auftraggeber, Kunde","B) Steering Committee, PM Board
","Welcher Begriff für ""Lenkungsausschuss"" wird oft in Unternehmen verwendet?
A) Leitung, Geschäftsführung
B) Steering Committee, PM Board
C) Projektrat, Betriebsrat
D) Auftraggeber, Kunde"
